year,creante,cifra_afaceri_neta,venituri_total,days_ca_360,days_ca_365,days_venituri_360,days_venituri_365,avg_creante_days_ca_360,avg_creante_days_ca_365,avg_creante_days_venituri_360,avg_creante_days_venituri_365
2013,1384.0,152549.0,152557.0,3.27,3.31,3.27,3.31,,,,
2014,2142.0,306021.0,306022.0,2.52,2.55,2.52,2.55,2.07,2.1,2.07,2.1
2015,13950.0,405746.0,405746.0,12.38,12.55,12.38,12.55,7.14,7.24,7.14,7.24
2016,11936.0,265464.0,291282.0,16.19,16.41,14.75,14.96,17.55,17.8,16.0,16.22
2017,39865.0,271708.0,271726.0,52.82,53.55,52.82,53.55,34.32,34.79,34.31,34.79
2018,4388.0,335165.0,335848.0,4.71,4.78,4.7,4.77,23.77,24.1,23.72,24.05
2019,38783.0,408372.0,408778.0,34.19,34.66,34.16,34.63,19.03,19.29,19.01,19.27
2020,4506.0,280658.0,280764.0,5.78,5.86,5.78,5.86,27.76,28.15,27.75,28.14
2021,8844.0,625544.0,681217.0,5.09,5.16,4.67,4.74,3.84,3.89,3.53,3.58
2022,27876.0,631190.0,633425.0,15.9,16.12,15.84,16.06,10.47,10.62,10.43,10.58
2023,22206.0,690381.0,693719.0,11.58,11.74,11.52,11.68,13.06,13.24,12.99,13.18
2024,80509.0,787332.0,799946.0,36.81,37.32,36.23,36.73,23.48,23.81,23.11,23.43
2025,375663.0,856618.0,857422.0,157.88,160.07,157.73,159.92,95.85,97.19,95.76,97.1
