year,data_actualizare,tip_bilant,creante,cifra_afaceri_neta,venituri_total,zile_ca_360,zile_ca_365,zile_venituri_360,zile_venituri_365
2013,2016-08-05,,1384.0,152549.0,152557.0,3.27,3.31,3.27,3.31
2014,2016-02-05,,2142.0,306021.0,306022.0,2.52,2.55,2.52,2.55
2015,2016-08-05,,13950.0,405746.0,405746.0,12.38,12.55,12.38,12.55
2016,2017-07-09,,11936.0,265464.0,291282.0,16.19,16.41,14.75,14.96
2017,2018-07-30,,39865.0,271708.0,271726.0,52.82,53.55,52.82,53.55
2018,2019-05-21,,4388.0,335165.0,335848.0,4.71,4.78,4.7,4.77
2019,2020-05-08,,38783.0,408372.0,408778.0,34.19,34.66,34.16,34.63
2020,2021-06-07,,4506.0,280658.0,280764.0,5.78,5.86,5.78,5.86
2021,2022-04-28,,8844.0,625544.0,681217.0,5.09,5.16,4.67,4.74
2022,2023-05-22,,27876.0,631190.0,633425.0,15.9,16.12,15.84,16.06
2023,2024-03-13,,22206.0,690381.0,693719.0,11.58,11.74,11.52,11.68
2024,2025-04-25,,80509.0,787332.0,799946.0,36.81,37.32,36.23,36.73
2025,2026-03-23,,375663.0,856618.0,857422.0,157.88,160.07,157.73,159.92
